,sum_sq,df,F,PR(>F)
C(api_type),65772220424.06667,1.0,1062.442439495037,1.4329150140494648e-88
C(query_type),30158646226.61656,3.0,162.38783619327674,1.0162216823304267e-56
C(api_type):C(query_type),24150013231.49996,3.0,130.03462964598216,1.9694740212077767e-49
Residual,14362335851.0,232.0,,
