query_type,rest_mean,rest_std,graphql_mean,graphql_std,difference,t_statistic,t_pvalue,u_statistic,u_pvalue,cohens_d,significant
GERAL,448.3771449999987,241.43789646001736,520.7278224999906,202.39307522951702,-72.35067749999189,2.515686728274821,0.993730159119967,8724.0,0.9977075553750652,0.3247737600961135,False
filtros,726.7057400000036,255.59050585586346,767.57843666666,133.18374761681886,-40.87269666665634,0.7767592041732846,0.7797713485830047,627.0,0.9956578143853797,0.20055836411843056,False
paginacao,289.913396666725,65.82394095682301,496.0290700000011,104.09671696961419,-206.1156733332761,9.166305919315551,0.9999999999996472,878.0,0.9999999998814265,2.366730011450106,False
relacionamentos,532.7105866666594,53.20835018589822,527.7430733333252,127.62957824023614,4.967513333334182,-0.19676631536429384,0.4223491438688051,349.0,0.06866141742349648,-0.05080484416670045,False
simples,244.17885666660672,100.5085718701859,291.5607099999761,71.96594701172995,-47.38185333336938,2.09940284335733,0.9799283357042845,782.0,0.9999995579452541,0.5420634832868959,False
