,sum_sq,df,F,PR(>F)
C(api_type),314077.2320824777,1.0,18.9438747298187,2.0191105195633468e-05
C(query_type),7582677.865700794,3.0,152.45220488388574,1.364697259202976e-54
C(api_type):C(query_type),382282.2330243706,3.0,7.685908638704178,6.431555002583103e-05
Residual,3846410.4562748126,232.0,,
