timestamp,api_type,query_type,query_name,response_time_ms,response_size_bytes,success,error_msg
2025-11-30T20:35:09.950891,REST,paginacao,get_repos_paginated,532.4138999999377,2,True,
2025-11-30T20:35:11.605439,GraphQL,paginacao,get_repos_paginated,654.1247999998632,2290,True,
2025-11-30T20:35:12.898515,REST,paginacao,get_repos_paginated,292.59810000030484,46555,True,
2025-11-30T20:35:14.294119,GraphQL,paginacao,get_repos_paginated,395.18320000024687,2907,True,
2025-11-30T20:35:15.624514,REST,paginacao,get_repos_paginated,329.8276000000442,37501,True,
2025-11-30T20:35:17.227718,GraphQL,paginacao,get_repos_paginated,602.5102000003244,2824,True,
2025-11-30T20:35:18.571278,REST,paginacao,get_repos_paginated,342.88340000011885,51145,True,
2025-11-30T20:35:20.053468,GraphQL,paginacao,get_repos_paginated,481.62390000015876,3027,True,
2025-11-30T20:35:21.391570,REST,paginacao,get_repos_paginated,337.3193000002175,51682,True,
2025-11-30T20:35:22.872505,GraphQL,paginacao,get_repos_paginated,480.52059999963603,2824,True,
2025-11-30T20:35:24.074983,REST,paginacao,get_repos_paginated,201.7018999999891,2,True,
2025-11-30T20:35:25.494536,GraphQL,paginacao,get_repos_paginated,419.25069999979314,2907,True,
2025-11-30T20:35:26.700796,REST,paginacao,get_repos_paginated,205.81739999988713,2,True,
2025-11-30T20:35:28.131290,GraphQL,paginacao,get_repos_paginated,429.82089999986783,2290,True,
2025-11-30T20:35:29.328602,REST,paginacao,get_repos_paginated,196.99930000024324,2,True,
2025-11-30T20:35:30.911557,GraphQL,paginacao,get_repos_paginated,582.4832999996943,2907,True,
2025-11-30T20:35:32.189669,REST,paginacao,get_repos_paginated,277.06579999994574,49353,True,
2025-11-30T20:35:33.622119,GraphQL,paginacao,get_repos_paginated,432.1193000000676,2796,True,
2025-11-30T20:35:34.891669,REST,paginacao,get_repos_paginated,268.5958000001847,51682,True,
2025-11-30T20:35:36.406677,GraphQL,paginacao,get_repos_paginated,514.3542000000707,2824,True,
2025-11-30T20:35:37.732264,REST,paginacao,get_repos_paginated,324.9313000001166,51682,True,
2025-11-30T20:35:39.339092,GraphQL,paginacao,get_repos_paginated,606.2375999999858,2824,True,
2025-11-30T20:35:40.654503,REST,paginacao,get_repos_paginated,314.6761000002698,50771,True,
2025-11-30T20:35:42.305037,GraphQL,paginacao,get_repos_paginated,650.0123000000713,2796,True,
2025-11-30T20:35:43.530294,REST,paginacao,get_repos_paginated,224.89059999998062,2,True,
2025-11-30T20:35:45.052016,GraphQL,paginacao,get_repos_paginated,520.9265000003143,2907,True,
2025-11-30T20:35:46.349539,REST,paginacao,get_repos_paginated,296.6948000002958,46555,True,
2025-11-30T20:35:47.789784,GraphQL,paginacao,get_repos_paginated,439.8964000001797,2907,True,
2025-11-30T20:35:49.083569,REST,paginacao,get_repos_paginated,292.8263000003426,51226,True,
2025-11-30T20:35:50.552465,GraphQL,paginacao,get_repos_paginated,468.2708000000275,3027,True,
2025-11-30T20:35:51.898916,REST,paginacao,get_repos_paginated,345.4647999997178,37501,True,
2025-11-30T20:35:53.481324,GraphQL,paginacao,get_repos_paginated,581.8020000001525,2824,True,
2025-11-30T20:35:54.792439,REST,paginacao,get_repos_paginated,310.54420000009486,46555,True,
2025-11-30T20:35:56.189365,GraphQL,paginacao,get_repos_paginated,396.299099999851,2907,True,
2025-11-30T20:35:57.474473,REST,paginacao,get_repos_paginated,284.2539999996916,51145,True,
2025-11-30T20:35:58.906619,GraphQL,paginacao,get_repos_paginated,431.4366999997219,3027,True,
2025-11-30T20:36:00.250278,REST,paginacao,get_repos_paginated,342.8063999999722,48977,True,
2025-11-30T20:36:01.733161,GraphQL,paginacao,get_repos_paginated,482.53380000005563,3027,True,
2025-11-30T20:36:02.932990,REST,paginacao,get_repos_paginated,199.01980000031472,2,True,
2025-11-30T20:36:04.291308,GraphQL,paginacao,get_repos_paginated,357.77509999979884,2290,True,
2025-11-30T20:36:05.584937,REST,paginacao,get_repos_paginated,292.9535000002943,46555,True,
2025-11-30T20:36:07.045774,GraphQL,paginacao,get_repos_paginated,460.20640000006097,2907,True,
2025-11-30T20:36:08.330575,REST,paginacao,get_repos_paginated,283.66289999985383,49353,True,
2025-11-30T20:36:10.195060,GraphQL,paginacao,get_repos_paginated,864.1371000003346,2796,True,
2025-11-30T20:36:11.538077,REST,paginacao,get_repos_paginated,341.8781000000308,49353,True,
2025-11-30T20:36:12.996857,GraphQL,paginacao,get_repos_paginated,458.1943000002866,2796,True,
2025-11-30T20:36:14.232321,REST,paginacao,get_repos_paginated,234.95199999979377,2,True,
2025-11-30T20:36:15.660994,GraphQL,paginacao,get_repos_paginated,428.3237999998164,2907,True,
